,StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,DEPRESSION_CrudePrev,LPA_CrudePrev,SLEEP_CrudePrev,Geolocation
0,IL,Illinois,Cook,17031,17031700100,13.1,17.8,14.7,31.8,40.6,POINT (-87.69517076 41.7536145)
1,IL,Illinois,Cook,17031,17031813701,14.4,18.6,15.8,39.9,36.3,POINT (-87.75415398 41.85488758)
2,IL,Illinois,Cook,17031,17031814800,15.3,13.3,14.5,26.9,32.7,POINT (-87.79831009 41.84947092)
3,IL,Illinois,Cook,17031,17031830600,16.0,15.5,15.4,26.0,34.6,POINT (-87.67355248 42.00170692)
4,IL,Illinois,Cook,17031,17031802003,13.4,9.6,13.2,20.0,28.8,POINT (-87.84561035 42.07959541)
5,IL,Illinois,Cook,17031,17031801000,12.4,6.8,12.4,16.0,26.4,POINT (-87.73487965 42.07225688)
6,IL,Illinois,Cook,17031,17031710300,10.1,20.2,14.6,36.5,44.6,POINT (-87.66109592 41.75407665)
7,IL,Illinois,Cook,17031,17031806003,11.9,11.4,12.1,24.5,31.8,POINT (-87.85043148 42.04728274)
8,IL,Illinois,Cook,17031,17031806300,16.0,12.4,15.5,20.1,30.3,POINT (-87.90236854 42.03788976)
9,IL,Illinois,Cook,17031,17031830900,18.9,9.6,14.3,16.9,29.8,POINT (-87.68550559 41.92856989)
10,IL,Illinois,Cook,17031,17031063302,19.3,6.2,15.1,11.6,26.6,POINT (-87.639831 41.93476905)
11,IL,Illinois,Cook,17031,17031803610,16.2,11.8,15.4,19.0,31.0,POINT (-88.06552538 42.13072775)
12,IL,Illinois,Cook,17031,17031832300,21.2,8.8,15.2,13.2,29.0,POINT (-87.67149117 41.91914696)
13,IL,Illinois,Cook,17031,17031820202,15.1,16.4,16.5,27.4,32.0,POINT (-87.85028989 41.77548816)
14,IL,Illinois,Cook,17031,17031400500,10.0,22.4,15.8,37.8,45.5,POINT (-87.62316986 41.79108239)
15,IL,Illinois,Cook,17031,17031804808,14.7,12.4,15.3,20.2,30.1,POINT (-88.10000677 42.02200816)
16,IL,Illinois,Cook,17031,17031110502,15.1,13.8,15.5,23.4,31.7,POINT (-87.75983275 41.97026933)
17,IL,Illinois,Cook,17031,17031770602,13.8,15.8,15.2,30.9,32.7,POINT (-87.90447821 42.01239851)
18,IL,Illinois,Cook,17031,17031812100,14.3,9.6,13.9,17.4,31.9,POINT (-87.77983481 41.90250096)
19,IL,Illinois,Cook,17031,17031611700,11.8,25.7,16.3,43.5,44.0,POINT (-87.67195665 41.79762187)
20,IL,Illinois,Cook,17031,17031410600,14.9,14.1,16.5,23.5,34.7,POINT (-87.59893794 41.79797642)
21,IL,Illinois,Cook,17031,17031804305,16.3,14.6,15.8,23.7,32.7,POINT (-88.16257871 42.03366005)
22,IL,Illinois,Cook,17031,17031160400,16.3,13.2,14.9,23.5,32.0,POINT (-87.72279901 41.95738238)
23,IL,Illinois,Cook,17031,17031813301,14.4,19.0,16.2,39.9,36.8,POINT (-87.75434513 41.86218238)
24,IL,Illinois,Cook,17031,17031822102,13.0,11.5,14.4,23.6,30.3,POINT (-87.73153795 41.72153758)
25,IL,Illinois,Cook,17031,17031200401,14.4,17.5,15.9,38.9,35.4,POINT (-87.73749643 41.91983869)
26,IL,Illinois,Cook,17031,17031440201,9.8,17.8,13.7,33.7,43.3,POINT (-87.61005267 41.74820906)
27,IL,Illinois,Cook,17031,17031802701,14.7,12.5,14.8,22.5,30.7,POINT (-87.9166636 42.08439513)
28,IL,Illinois,Cook,17031,17031110400,15.2,12.6,15.2,22.1,30.5,POINT (-87.77257456 41.97291301)
29,IL,Illinois,Cook,17031,17031260800,9.7,28.1,16.2,44.3,47.7,POINT (-87.7230731 41.87709288)
30,IL,Illinois,Cook,17031,17031690300,8.7,23.8,15.0,43.8,45.6,POINT (-87.62901226 41.76871001)
31,IL,Illinois,Cook,17031,17031660500,14.1,18.1,15.4,38.5,36.4,POINT (-87.70795423 41.7752436)
32,IL,Illinois,Cook,17031,17031802404,14.0,14.4,15.3,27.3,32.0,POINT (-87.9438907 42.14775071)
33,IL,Illinois,Cook,17031,17031170400,15.2,14.6,16.1,24.4,31.4,POINT (-87.81268341 41.94891489)
34,IL,Illinois,Cook,17031,17031804104,14.7,8.5,13.2,16.0,29.1,POINT (-88.1091168 42.10477867)
35,IL,Illinois,Cook,17031,17031770400,15.8,12.8,15.4,21.6,31.5,POINT (-87.97465517 42.02401038)
36,IL,Illinois,Cook,17031,17031251700,12.7,16.1,13.6,29.0,42.2,POINT (-87.74439922 41.89134608)
37,IL,Illinois,Cook,17031,17031811800,13.7,14.9,15.6,31.0,32.0,POINT (-87.90708071 41.91447129)
38,IL,Illinois,Cook,17031,17031420800,11.6,18.5,15.0,31.2,44.0,POINT (-87.6032623 41.77690033)
39,IL,Illinois,Cook,17031,17031804609,14.0,9.1,12.7,17.7,29.8,POINT (-88.04460752 42.03155342)
40,IL,Illinois,Cook,17031,17031241500,22.1,7.5,15.0,11.8,28.2,POINT (-87.67090476 41.908394)
41,IL,Illinois,Cook,17031,17031421200,9.0,20.7,14.3,39.3,44.1,POINT (-87.60897305 41.77062632)
42,IL,Illinois,Cook,17031,17031803014,15.6,13.2,15.8,21.5,31.0,POINT (-87.93193366 42.11702925)
43,IL,Illinois,Cook,17031,17031804510,16.1,15.8,15.1,31.9,34.1,POINT (-88.15255966 42.00003462)
44,IL,Illinois,Cook,17031,17031826201,9.2,13.6,12.6,30.5,38.5,POINT (-87.56481377 41.6048405)
45,IL,Illinois,Cook,17031,17031060100,20.1,8.5,15.6,13.0,28.3,POINT (-87.66663141 41.95755769)
46,IL,Illinois,Cook,17031,17031817101,11.3,17.6,13.8,31.6,42.6,POINT (-87.87810665 41.87622405)
47,IL,Illinois,Cook,17031,17031837100,10.6,20.4,14.7,36.9,42.3,POINT (-87.6987513 41.88569533)
48,IL,Illinois,Cook,17031,17031824116,15.5,12.7,16.0,21.6,30.0,POINT (-87.86826654 41.62639519)
49,IL,Illinois,Cook,17031,17031805111,15.7,13.3,14.6,22.8,32.4,POINT (-87.9437835 42.03128488)
50,IL,Illinois,Cook,17031,17031681000,8.9,31.2,17.0,49.0,48.5,POINT (-87.64954905 41.77606707)
51,IL,Illinois,Cook,17031,17031823400,14.2,16.3,15.5,30.2,36.0,POINT (-87.69648507 41.66513018)
