,ST_ABBR,COUNTY,FIPS,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,geometry
0,IL,Cook,17031010100,0.7682,0.5587,0.7116,0.9007,35.0,15.2,2.0,0.0,"POLYGON ((-87.67719899999997 42.02294200000006, -87.67264599999999 42.022996000000035, -87.67188399999998 42.02298600000006, -87.67114699999996 42.02304200000003, -87.66615447999999 42.02312967100005, -87.66592531599997 42.02264238500004, -87.66434321899999 42.01927827600008, -87.66456199999999 42.019273000000055, -87.66603799999996 42.01924900000006, -87.66824299999996 42.019214000000034, -87.66949799999998 42.01936400000005, -87.67132999999995 42.01937400000003, -87.67191699999995 42.019378000000074, -87.67330999999996 42.01938700000005, -87.67710399999999 42.022552000000076, -87.67719899999997 42.02294200000006))"
1,IL,Cook,17031010201,0.7892,0.7107,0.797,0.9933,33.7,23.4,5.4,0.1,"POLYGON ((-87.68465299999997 42.01948500000003, -87.68281099999996 42.01946700000008, -87.68162999999998 42.019457000000045, -87.68044799999996 42.01944700000007, -87.67685499999999 42.01941100000005, -87.67653899999999 42.017900000000054, -87.67601799999994 42.015679000000034, -87.67567799999995 42.012617000000034, -87.67818699999998 42.01257500000003, -87.68026999999995 42.01253600000007, -87.68268299999994 42.01249700000005, -87.68308599999995 42.01232300000004, -87.68368799999996 42.014035000000035, -87.68408299999999 42.01515100000006, -87.68418299999996 42.01557500000007, -87.68465299999997 42.01948500000003))"
2,IL,Cook,17031010202,0.9296,0.615,0.8031,0.9987,32.5,26.3,6.3,0.0,"POLYGON ((-87.67685499999999 42.01941100000005, -87.67630699999995 42.01940300000007, -87.67338799999999 42.01938100000007, -87.67330999999996 42.01938700000005, -87.67191699999995 42.019378000000074, -87.67132999999995 42.01937400000003, -87.67105399999997 42.01802600000008, -87.67035599999997 42.01813400000003, -87.67032899999998 42.017056000000025, -87.67031199999997 42.015994000000035, -87.67023799999998 42.01384000000007, -87.67019799999997 42.012714000000074, -87.67236599999995 42.01267500000006, -87.67463799999996 42.012635000000046, -87.67567799999995 42.012617000000034, -87.67601799999994 42.015679000000034, -87.67653899999999 42.017900000000054, -87.67685499999999 42.01941100000005))"
3,IL,Cook,17031010300,0.7829,0.2771,0.6756,0.9681,29.2,15.0,2.4,0.1,"POLYGON ((-87.67132999999995 42.01937400000003, -87.66949799999998 42.01936400000005, -87.66824299999996 42.019214000000034, -87.66603799999996 42.01924900000006, -87.66456199999999 42.019273000000055, -87.66434321899999 42.01927827600008, -87.66336442199997 42.01719700000007, -87.66235706699996 42.015055000000075, -87.66132547299998 42.01286145800003, -87.66345299999995 42.012830000000065, -87.66592399999996 42.01278700000006, -87.66629399999994 42.01278000000008, -87.67019799999997 42.012714000000074, -87.67023799999998 42.01384000000007, -87.67031199999997 42.015994000000035, -87.67032899999998 42.017056000000025, -87.67035599999997 42.01813400000003, -87.67105399999997 42.01802600000008, -87.67132999999995 42.01937400000003))"
4,IL,Cook,17031010400,0.6724,0.1049,0.5145,0.9588,18.6,7.9,4.4,0.0,"POLYGON ((-87.66345299999995 42.012830000000065, -87.66132547299998 42.01286145800003, -87.66108399999996 42.01234800000003, -87.65982607999996 42.010374152000054, -87.65832625799999 42.00802072600004, -87.65765599999997 42.006969000000026, -87.65689859599996 42.00422118300003, -87.65679537799997 42.003846715000066, -87.65629599999994 42.002035000000035, -87.65597770299996 42.00022790600008, -87.65562614999999 41.99823200000003, -87.65706299999994 41.99822800000004, -87.65934699999997 41.998203000000046, -87.66055299999994 41.998189000000025, -87.66071199999999 42.00043900000003, -87.66072499999996 42.000778000000025, -87.66078299999998 42.00255100000004, -87.66084799999999 42.00453200000004, -87.66085099999998 42.00461700000005, -87.66088999999994 42.005386000000044, -87.66129499999994 42.006767000000025, -87.66169199999996 42.007979000000034, -87.66208899999998 42.009183000000064, -87.66248499999995 42.01040100000006, -87.66294599999998 42.01176200000003, -87.66345299999995 42.012830000000065))"
5,IL,Cook,17031010501,0.66,0.1186,0.677,0.8008,33.9,7.7,6.3,0.0,"POLYGON ((-87.66592399999996 42.01278700000006, -87.66345299999995 42.012830000000065, -87.66294599999998 42.01176200000003, -87.66248499999995 42.01040100000006, -87.66208899999998 42.009183000000064, -87.66169199999996 42.007979000000034, -87.66129499999994 42.006767000000025, -87.66206099999994 42.00675700000005, -87.66186899999997 42.00614100000007, -87.66301899999996 42.00612200000006, -87.66304299999996 42.00674200000003, -87.66569699999997 42.006696000000034, -87.66573699999998 42.007915000000025, -87.66577899999999 42.00912800000003, -87.66581799999994 42.01034500000003, -87.66592399999996 42.01278700000006))"
6,IL,Cook,17031010502,0.6957,0.1066,0.6587,0.9537,21.3,15.7,8.5,0.0,"POLYGON ((-87.66573499999998 42.00546200000008, -87.66567499999996 42.005464000000075, -87.66569699999997 42.006696000000034, -87.66304299999996 42.00674200000003, -87.66301899999996 42.00612200000006, -87.66186899999997 42.00614100000007, -87.66206099999994 42.00675700000005, -87.66129499999994 42.006767000000025, -87.66088999999994 42.005386000000044, -87.66085099999998 42.00461700000005, -87.66084799999999 42.00453200000004, -87.66078299999998 42.00255100000004, -87.66291199999995 42.00252000000006, -87.66323399999999 42.00248000000005, -87.66564399999999 42.00242100000003, -87.66568099999995 42.00362400000006, -87.66570499999995 42.004459000000054, -87.66573499999998 42.00546200000008))"
7,IL,Cook,17031010503,0.7196,0.8055,0.5053,0.9083,11.8,3.9,10.3,0.0,"POLYGON ((-87.66564399999999 42.00242100000003, -87.66323399999999 42.00248000000005, -87.66291199999995 42.00252000000006, -87.66078299999998 42.00255100000004, -87.66072499999996 42.000778000000025, -87.66071199999999 42.00043900000003, -87.66055299999994 41.998189000000025, -87.66302899999994 41.998162000000036, -87.66307099999995 41.99816100000004, -87.66543599999994 41.998136000000045, -87.66556999999995 41.99996600000003, -87.66558299999997 42.000384000000054, -87.66559599999994 42.000830000000065, -87.66564399999999 42.00242100000003))"
8,IL,Cook,17031010600,0.5658,0.0243,0.6417,0.9018,20.9,14.5,4.6,0.0,"POLYGON ((-87.67059299999994 42.005374000000074, -87.66994799999998 42.00538500000005, -87.66999099999998 42.00661800000006, -87.67003499999998 42.00783900000005, -87.67007299999995 42.00904900000006, -87.67011699999995 42.01027400000004, -87.67015899999996 42.01149000000004, -87.67019799999997 42.012714000000074, -87.66629399999994 42.01278000000008, -87.66592399999996 42.01278700000006, -87.66581799999994 42.01034500000003, -87.66577899999999 42.00912800000003, -87.66573699999998 42.007915000000025, -87.66569699999997 42.006696000000034, -87.66567499999996 42.005464000000075, -87.66573499999998 42.00546200000008, -87.66570499999995 42.004459000000054, -87.66568099999995 42.00362400000006, -87.66564399999999 42.00242100000003, -87.66559599999994 42.000830000000065, -87.66558299999997 42.000384000000054, -87.66556999999995 41.99996600000003, -87.66543599999994 41.998136000000045, -87.66796199999999 41.998109000000056, -87.66800999999998 41.999937000000045, -87.66805899999997 42.00176300000004, -87.66811099999995 42.00358700000004, -87.66933399999994 42.00356800000003, -87.67054299999995 42.00354900000008, -87.67059299999994 42.005374000000074))"
9,IL,Cook,17031010701,0.8129,0.5613,0.7228,0.6729,22.5,26.1,7.6,0.0,"POLYGON ((-87.68268299999994 42.01249700000005, -87.68026999999995 42.01253600000007, -87.67818699999998 42.01257500000003, -87.67567799999995 42.012617000000034, -87.67540599999995 42.01139400000005, -87.67532799999998 42.008962000000054, -87.67531099999997 42.00774700000005, -87.67527599999994 42.00653300000005, -87.67522699999995 42.00530200000003, -87.68017099999997 42.005206000000044, -87.68116099999997 42.00735000000003, -87.68129799999997 42.00764600000008, -87.68184199999996 42.008845000000065, -87.68189099999995 42.008961000000056, -87.68232299999994 42.01015700000005, -87.68308599999995 42.01232300000004, -87.68268299999994 42.01249700000005))"
